scenario_id,num_obstacles,planner,collision_rate,completion_rate,expected_cost,runtime_s,min_obstacle_dist_m,converged,collision_free,error
USA_Lanker-1_8_T-1,31,worst_case_sqp,0.0,1,2.180225,3.4382,8.2771,1,1,
USA_Lanker-1_8_T-1,31,worst_case_cmaes,0.0,1,2.671277,11.4852,9.0265,1,1,
USA_Lanker-1_8_T-1,31,stochastic_sqp,0.0,1,2.180225,1.0286,8.2771,1,1,
USA_Lanker-1_8_T-1,31,stochastic_cmaes,0.0,1,2.671277,7.8336,9.0265,1,1,
USA_Lanker-1_9_T-1,26,plan_on_mean_sqp,0.0,1,2.29732,1.8623,7.4091,1,1,
USA_Lanker-1_9_T-1,26,plan_on_mean_cmaes,0.0,1,2.803002,4.357,7.3918,1,1,
USA_Lanker-1_9_T-1,26,worst_case_sqp,0.0,1,2.29732,7.659,6.9044,1,1,
USA_Lanker-1_9_T-1,26,worst_case_cmaes,0.0,1,2.803002,13.1137,6.8619,1,1,
USA_Lanker-1_9_T-1,26,stochastic_sqp,0.0,1,2.29732,2.2802,6.9044,1,1,
USA_Lanker-1_9_T-1,26,stochastic_cmaes,0.0,1,2.803002,7.9712,6.8619,1,1,
USA_US101-10_1_T-1,44,plan_on_mean_sqp,0.5,0,0.116598,127.4143,3.3515,0,1,
USA_US101-10_1_T-1,44,plan_on_mean_cmaes,1.0,0,3478.269499,14.4587,2.6709,1,0,
USA_US101-10_1_T-1,44,worst_case_sqp,0.75,0,51.954587,956.4231,2.0571,0,0,
USA_US101-10_1_T-1,44,worst_case_cmaes,0.25,0,6227.952308,73.3016,2.6496,1,0,
USA_US101-10_1_T-1,44,stochastic_sqp,0.0,0,723.30674,148.8114,3.1735,0,1,
USA_US101-10_1_T-1,44,stochastic_cmaes,0.0,1,6846.958598,21.9823,3.1537,1,1,
USA_US101-11_1_T-1,32,plan_on_mean_sqp,0.75,0,1.330937,106.337,3.0,0,1,
USA_US101-11_1_T-1,32,plan_on_mean_cmaes,1.0,1,3343.181383,13.639,3.0163,1,1,
USA_US101-11_1_T-1,32,worst_case_sqp,1.0,0,15.246593,572.3757,1.6961,0,0,
USA_US101-11_1_T-1,32,worst_case_cmaes,0.0,1,9296.414786,53.497,3.0991,1,1,
USA_US101-11_1_T-1,32,stochastic_sqp,0.25,0,57.085888,73.2753,0.3532,0,0,
USA_US101-11_1_T-1,32,stochastic_cmaes,0.25,0,7290.90569,18.9674,2.4195,1,0,
USA_US101-1_1_T-1,2,plan_on_mean_sqp,0.5,0,3.066871,75.87,8.5797,0,1,
USA_US101-1_1_T-1,2,plan_on_mean_cmaes,0.0,1,160.503676,11.0672,9.3353,1,1,
USA_US101-1_1_T-1,2,worst_case_sqp,0.25,0,3.895073,93.9495,3.0,0,1,
